USER,AGE,GENDER,COUNTRY,ENGLISH,EDUCATION,SIZE,TREL,TOPIC,DOC,urel,mental,physical,temp,perf,effort,frust,time,viewdoc,viewtopic
5,28,male,Spanish,4,staff,lrg,0,367,NYT19990702.0265,0,85,15,75,80,70,40,118839,1,0
5,28,male,Spanish,4,staff,lrg,1,341,NYT19991221.0279,1,30,10,20,60,30,15,71185,1,0
5,28,male,Spanish,4,staff,sml,2,435,XIE20000216.0030,0,45,10,30,50,30,15,73761,2,1
6,44,male,Irish,5,nodegree,lrg,0,325,NYT19991028.0201,0,65,20,55,90,65,60,59664,1,0
6,44,male,Irish,5,nodegree,sml,0,363,APW19980604.0808,0,25,25,25,85,40,20,38027,1,0
6,44,male,Irish,5,nodegree,med,1,378,APW19990726.0191,2,40,30,50,80,65,15,46108,1,0
6,44,male,Irish,5,nodegree,med,2,383,APW19990329.0167,2,55,35,30,85,60,35,67789,1,0
6,44,male,Irish,5,nodegree,lrg,1,448,APW19981229.0190,2,60,30,30,70,50,35,60946,1,0
6,44,male,Irish,5,nodegree,lrg,2,435,XIE19970204.0117,2,25,25,25,90,20,20,42344,1,0
6,44,male,Irish,5,nodegree,sml,1,354,APW19981202.0330,2,10,15,15,90,30,20,41491,1,0
6,44,male,Irish,5,nodegree,med,0,341,APW19981029.1590,0,55,30,45,60,65,65,59130,2,1
6,44,male,Irish,5,nodegree,sml,2,625,APW19990119.0226,2,25,25,35,85,35,20,28623,1,0
7,26,male,Colombia,4,pg,sml,0,622,XIE20000920.0409,0,15,15,25,90,15,15,67135,1,0
7,26,male,Colombia,4,pg,med,1,367,XIE20000202.0138,0,5,5,5,100,5,50,46398,1,0
7,26,male,Colombia,4,pg,sml,1,650,APW19990407.0166,1,30,20,30,80,30,30,107908,1,0
7,26,male,Colombia,4,pg,med,2,314,APW19990902.0249,2,30,20,30,100,20,20,92732,1,0
7,26,male,Colombia,4,pg,lrg,1,397,APW20000208.0146,2,30,20,50,90,40,30,166413,1,0
7,26,male,Colombia,4,pg,lrg,2,347,NYT19991013.0099,2,20,20,20,80,20,20,89994,1,0
7,26,male,Colombia,4,pg,lrg,0,416,NYT19990521.0052,0,20,20,20,80,20,20,97900,1,0
7,26,male,Colombia,4,pg,sml,2,638,APW19990519.0263,2,20,20,30,80,20,20,83267,1,0
7,26,male,Colombia,4,pg,med,0,375,APW19991007.0310,0,20,20,20,90,20,20,62907,1,0
8,31,male,English,5,staff,med,1,372,APW19990901.0068,2,75,20,65,85,65,35,167765,2,1
8,31,male,English,5,staff,med,2,336,NYT20000628.0170,1,20,10,40,80,45,15,235782,2,1
8,31,male,English,5,staff,lrg,0,375,NYT19991117.0131,1,30,65,100,75,50,60,346871,2,1
8,31,male,English,5,staff,lrg,1,650,NYT19990712.0076,1,65,50,75,35,60,30,439672,2,1
8,31,male,English,5,staff,sml,1,314,XIE19960411.0126,0,65,5,5,40,30,20,112718,2,1
8,31,male,English,5,staff,med,0,439,APW20000216.0063,0,5,5,25,100,5,5,114379,1,0
8,31,male,English,5,staff,sml,2,689,XIE19990203.0314,0,25,5,15,75,15,15,124482,2,1
8,31,male,English,5,staff,sml,0,367,XIE19970204.0246,0,5,5,5,100,5,5,48668,1,0
8,31,male,English,5,staff,lrg,2,416,NYT19980604.0069,2,20,15,15,100,20,5,116801,3,2
9,43,female,italian,4,pg,sml,1,648,XIE19980128.0152,0,55,30,45,60,40,45,58866,1,0
9,43,female,italian,4,pg,med,1,650,NYT19990223.0437,1,45,45,45,45,45,40,56307,1,0
9,43,female,italian,4,pg,med,2,344,NYT20000824.0030,2,45,40,40,55,40,50,51800,1,0
9,43,female,italian,4,pg,med,0,651,APW19981207.0459,0,50,40,35,60,40,40,14522,1,0
9,43,female,italian,4,pg,sml,0,372,XIE20000519.0111,0,35,30,25,70,25,25,20510,1,0
9,43,female,italian,4,pg,lrg,2,622,NYT19990907.0389,1,40,35,40,55,40,30,43419,1,0
9,43,female,italian,4,pg,sml,2,347,XIE20000512.0014,0,35,35,35,55,35,25,16825,1,0
9,43,female,italian,4,pg,lrg,1,367,APW20000427.0086,1,45,40,40,55,40,30,24952,1,0
9,43,female,italian,4,pg,lrg,0,336,NYT20000117.0046,0,30,30,30,55,35,35,50111,1,0
10,41,female,British,5,pg,sml,2,625,APW19990119.0226,2,5,5,5,100,5,10,34531,1,0
10,41,female,British,5,pg,sml,1,393,XIE19970730.0075,2,5,5,5,100,5,5,105018,1,0
10,41,female,British,5,pg,med,2,362,NYT20000111.0414,2,5,5,5,100,5,5,26151,1,0
10,41,female,British,5,pg,med,1,345,NYT19990128.0367,1,15,5,15,90,10,5,61999,1,0
10,41,female,British,5,pg,lrg,0,374,NYT20000327.0404,0,25,5,35,70,25,25,117760,1,0
10,41,female,British,5,pg,lrg,2,389,NYT19981206.0139,1,20,5,20,35,15,100,117661,1,0
10,41,female,British,5,pg,sml,0,443,XIE20000621.0226,2,5,5,5,55,5,5,55331,1,0
10,41,female,British,5,pg,med,0,419,XIE19990625.0184,0,5,5,5,45,5,5,52233,1,0
10,41,female,British,5,pg,lrg,1,435,NYT19981031.0113,1,5,5,5,5,5,5,80436,1,0
11,24,female,American,5,pg,med,1,363,APW19981102.0903,1,30,5,45,45,10,20,48462,1,0
11,24,female,American,5,pg,lrg,2,362,NYT19990813.0344,2,40,5,45,65,20,20,41615,1,0
11,24,female,American,5,pg,sml,2,393,XIE19961002.0174,2,10,5,15,80,15,5,45813,1,0
11,24,female,American,5,pg,sml,0,622,XIE19960221.0009,1,10,10,5,35,5,10,30174,1,0
11,24,female,American,5,pg,med,0,399,XIE19991029.0232,0,10,5,5,50,5,5,21332,1,0
11,24,female,American,5,pg,lrg,1,372,APW19990603.0145,1,5,5,5,65,5,20,35101,1,0
11,24,female,American,5,pg,lrg,0,336,NYT20000117.0046,0,5,5,5,85,5,5,42844,1,0
11,24,female,American,5,pg,sml,1,314,XIE19960317.0151,1,5,5,5,70,5,5,30660,1,0
11,24,female,American,5,pg,med,2,433,NYT20000626.0140,0,5,5,5,95,5,5,22197,1,0
12,30,male,chilean,4,pg,lrg,0,448,NYT19990405.0012,0,65,20,55,75,45,30,85000,1,0
12,30,male,chilean,4,pg,sml,2,330,XIE19980701.0044,2,35,15,40,80,25,10,27324,1,0
12,30,male,chilean,4,pg,sml,0,397,XIE20000127.0172,0,45,15,50,80,45,25,63261,2,1
12,30,male,chilean,4,pg,lrg,2,622,NYT19990226.0071,2,45,15,70,75,55,15,83558,1,0
12,30,male,chilean,4,pg,med,2,416,XIE19960623.0121,1,55,15,55,80,60,15,80311,2,1
12,30,male,chilean,4,pg,lrg,1,638,NYT20000601.0359,0,80,15,65,70,70,40,135062,1,0
12,30,male,chilean,4,pg,sml,1,372,NYT19990107.0411,1,85,30,75,70,85,50,51533,1,0
12,30,male,chilean,4,pg,med,1,341,APW19980824.0472,1,70,20,50,75,55,30,81159,1,0
12,30,male,chilean,4,pg,med,0,436,APW19981223.0429,2,55,20,50,75,50,20,39680,1,0
13,20,female,British,5,ug,med,2,435,XIE19980916.0271,0,80,5,70,75,80,60,84533,1,0
13,20,female,British,5,ug,lrg,2,419,NYT20000826.0025,1,65,5,60,85,70,40,106854,1,0
13,20,female,British,5,ug,sml,2,330,XIE19980701.0044,2,40,5,40,95,70,30,68095,1,0
13,20,female,British,5,ug,sml,0,416,XIE19970402.0153,0,20,5,20,95,65,15,39400,1,0
13,20,female,British,5,ug,lrg,0,362,NYT19990420.0254,0,10,5,90,100,15,30,88782,1,0
13,20,female,British,5,ug,med,0,639,XIE19981008.0289,0,90,5,70,80,80,40,71949,1,0
13,20,female,British,5,ug,lrg,1,622,NYT20000508.0176,0,90,10,60,50,60,90,48491,2,1
13,20,female,British,5,ug,sml,1,336,XIE20000725.0314,1,90,5,40,90,90,20,57150,1,0
13,20,female,British,5,ug,med,1,433,NYT19990514.0239,0,95,5,70,80,90,90,51661,1,0
14,20,female,British,5,ug,med,0,433,NYT19980930.0226,0,10,5,5,85,10,25,30556,1,0
14,20,female,British,5,ug,sml,2,448,XIE20000927.0224,2,10,10,10,95,10,5,21486,2,1
14,20,female,British,5,ug,lrg,1,658,NYT20000710.0177,1,35,10,25,60,50,20,73572,1,0
14,20,female,British,5,ug,med,2,651,APW20000830.0030,2,15,5,15,80,10,5,31300,2,1
14,20,female,British,5,ug,lrg,0,344,NYT20000724.0054,1,50,10,30,55,75,50,103299,2,1
14,20,female,British,5,ug,med,1,399,XIE19980219.0198,0,35,5,15,80,35,15,33402,2,1
14,20,female,British,5,ug,sml,1,362,APW19981027.0742,2,5,5,5,90,5,5,27691,2,1
14,20,female,British,5,ug,sml,0,404,XIE19980514.0108,0,5,5,5,85,5,5,13237,1,0
