USER,AGE,GENDER,COUNTRY,ENGLISH,EDUCATION,SIZE,TREL,TOPIC,DOC,urel,time,viewdoc,viewtopic,mental,physical,temp,perf,effort,frust
54f07675a0caa,25,male,Bosnian,4,pg,lrg,0,399,APW19991003.0164,1,25290,1,0,65,70,75,60,80,45
54f07675a0caa,25,male,Bosnian,4,pg,sml,1,372,NYT19990415.0508,1,27503,1,0,65,65,70,55,50,20
54f07675a0caa,25,male,Bosnian,4,pg,lrg,0,404,APW19981016.0474,1,13816,1,0,65,70,65,50,65,45
54f0767cc06e2,37,male,Cypriot,3,pg,med,0,325,NYT19991101.0182,2,32602,1,0,45,60,45,50,55,55
54f0767cc06e2,37,male,Cypriot,3,pg,lrg,2,409,APW20000504.0018,1,7934,1,0,50,55,60,45,45,60
54f0767cc06e2,37,male,Cypriot,3,pg,sml,1,372,NYT19990107.0411,1,14179,1,0,50,45,60,55,60,60
54f0767cc06e2,37,male,Cypriot,3,pg,med,0,639,NYT20000719.0293,0,11992,1,0,35,35,30,25,35,30
54f0767cc06e2,37,male,Cypriot,3,pg,med,0,435,XIE19960127.0035,1,5074,1,0,50,55,50,55,50,55
54f0767cc06e2,37,male,Cypriot,3,pg,lrg,1,439,NYT20000305.0079,2,7773,1,0,55,55,50,50,60,65
54f0767cc06e2,37,male,Cypriot,3,pg,sml,2,363,XIE19971231.0135,0,8954,1,0,25,35,30,30,25,25
54f0767cc06e2,37,male,Cypriot,3,pg,sml,2,625,APW19980626.1536,1,7741,1,0,55,50,55,50,45,55
54f0767cc06e2,37,male,Cypriot,3,pg,lrg,1,307,NYT19980815.0072,2,11324,1,0,55,50,55,55,50,55
54f076871dd31,25,male,vietnam,3,pg,med,0,378,NYT19981130.0508,1,82833,2,1,70,65,65,70,75,45
54f076871dd31,25,male,vietnam,3,pg,sml,2,322,APW20000522.0198,1,38069,1,0,70,65,70,80,70,55
54f076871dd31,25,male,vietnam,3,pg,sml,2,638,APW19990901.0089,2,33064,1,0,75,75,65,70,65,45
54f076871dd31,25,male,vietnam,3,pg,lrg,1,426,NYT19990323.0037,2,49885,1,0,80,70,80,65,65,55
54f076871dd31,25,male,vietnam,3,pg,sml,1,393,XIE19970730.0075,2,44133,1,0,75,70,75,65,60,45
54f076871dd31,25,male,vietnam,3,pg,med,1,650,NYT19991012.0367,2,38357,1,0,80,65,70,70,75,55
54f076871dd31,25,male,vietnam,3,pg,lrg,2,622,APW19990520.0250,1,33483,1,0,80,70,70,60,70,55
54f076871dd31,25,male,vietnam,3,pg,med,0,362,XIE19990103.0097,0,31228,1,0,75,80,75,70,80,55
54f076871dd31,25,male,vietnam,3,pg,lrg,0,448,NYT19990405.0012,0,36086,1,0,80,75,75,70,70,65
54f0768ebdfda,40,male,,4,pg,med,1,443,XIE19990427.0031,1,98859,2,1,60,25,45,80,60,35
54f0768ebdfda,40,male,,4,pg,lrg,2,639,NYT19990924.0138,0,68535,2,1,65,30,65,80,55,20
54f0768ebdfda,40,male,,4,pg,sml,1,436,XIE19990102.0032,2,17898,1,0,60,45,45,90,50,20
54f0768ebdfda,40,male,,4,pg,lrg,0,322,NYT19981228.0027,0,25572,1,0,50,50,50,80,40,60
54f0768ebdfda,40,male,,4,pg,sml,2,353,XIE19970211.0080,2,21134,1,0,45,45,45,80,45,15
54f0768ebdfda,40,male,,4,pg,sml,0,651,XIE19960125.0210,0,15438,2,1,45,45,45,80,30,20
54f0768ebdfda,40,male,,4,pg,lrg,1,367,NYT20000803.0317,1,18294,1,0,45,40,75,70,35,20
54f0768ebdfda,40,male,,4,pg,med,0,426,XIE19960703.0215,0,22243,1,0,45,45,55,70,40,10
54f0768ebdfda,40,male,,4,pg,med,2,435,XIE19990919.0157,2,42715,1,0,45,45,60,75,30,10
54f076949913c,39,female,venezuelan,4,ug,lrg,0,638,NYT20000622.0378,1,43586,1,0,45,40,60,45,45,50
54f076949913c,39,female,venezuelan,4,ug,sml,1,399,XIE19960120.0070,2,40953,1,0,55,45,55,55,45,45
54f076949913c,39,female,venezuelan,4,ug,med,2,310,APW19990615.0145,2,21091,1,0,55,50,45,50,45,45
54f076949913c,39,female,venezuelan,4,ug,sml,1,367,XIE19981224.0170,2,21183,1,0,35,55,45,45,45,55
54f076949913c,39,female,venezuelan,4,ug,sml,0,383,XIE19971011.0012,0,28960,1,0,60,60,50,50,55,45
54f076949913c,39,female,venezuelan,4,ug,med,2,354,XIE20000827.0330,2,32443,1,0,60,50,50,55,55,45
54f076949913c,39,female,venezuelan,4,ug,med,2,307,XIE19971107.0246,2,48708,1,0,50,50,45,35,35,40
